Frequency,Impedance
5000,4767.2
5000,4767.29
5000,4767.7
5000,4766.72
5000,4766.97
5000,4767.25
5000,4767.11
5000,4767.03
5000,4766.78
5000,4766.92
5000,4768.56
5000,4767.64
5000,4768.29
5000,4768.22
5000,4768.22
5000,4767.44
5000,4767.55
5000,4768.04
5000,4767.94
5000,4768.05
5000,4767.03
5000,4766.4
5000,4767.22
5000,4766.85
5000,4765.31
5000,4765.77
5000,4765.82
5000,4765.42
5000,4765.32
5000,4764.57
5000,4765.04
5000,4765.46
5000,4764.93
5000,4765.18
5000,4764.69
5000,4765.01
5000,4765.47
5000,4764.89
5000,4765.12
5000,4764.63
5000,4765.23
5000,4764.4
5000,4765.07
5000,4765.04
5000,4764.82
5000,4764.56
5000,4765.41
5000,4764.71
5000,4765.03
5000,4764.79
10000,4746
10000,4745.53
10000,4746.35
10000,4745.58
10000,4745.7
10000,4745.78
10000,4745.88
10000,4745.35
10000,4745.34
10000,4746.01
10000,4745.82
10000,4745.47
10000,4745.8
10000,4745.98
10000,4745.04
10000,4745.21
10000,4745.91
10000,4745.66
10000,4745.32
10000,4745.86
10000,4745.8
10000,4745.22
10000,4745.3
10000,4745.82
10000,4745.83
10000,4745.82
10000,4745.68
10000,4745.94
10000,4745.84
10000,4745.94
10000,4745.98
10000,4745.67
10000,4745.94
10000,4745.82
10000,4745.79
10000,4745.94
10000,4746.11
10000,4745.94
10000,4745.94
10000,4745.79
10000,4746.02
10000,4745.3
10000,4745.51
10000,4745.76
10000,4745.95
10000,4745.51
10000,4745.91
10000,4745.83
10000,4745.8
10000,4745.62
15000,4748.47
15000,4749.23
15000,4749
15000,4748.76
15000,4748.62
15000,4749.15
15000,4748.88
15000,4748.33
15000,4749.39
15000,4748.92
15000,4749.09
15000,4748.29
15000,4748.29
15000,4748.15
15000,4748.19
15000,4748.8
15000,4748.27
15000,4748.35
15000,4749.11
15000,4748.05
15000,4748.99
15000,4748.64
15000,4748.24
15000,4749.3
15000,4749.14
15000,4749.12
15000,4749.03
15000,4748.79
15000,4749.24
15000,4749.03
15000,4748.91
15000,4748.42
15000,4748.95
15000,4748.87
15000,4748.67
15000,4748.24
15000,4748.93
15000,4749.13
15000,4748.25
15000,4748.13
15000,4749.03
15000,4748.44
15000,4748.54
15000,4748.38
15000,4748.46
15000,4749.07
15000,4748.87
15000,4748.48
15000,4749.23
15000,4748.93
20000,4695.41
20000,4696.25
20000,4695.47
20000,4695.83
20000,4695.77
20000,4695.37
20000,4694.86
20000,4695.94
20000,4695.66
20000,4695.94
20000,4695.18
20000,4696.17
20000,4696.11
20000,4695.61
20000,4696.15
20000,4696.07
20000,4695.86
20000,4695.48
20000,4696.23
20000,4696.15
20000,4695.94
20000,4695.71
20000,4696.6
20000,4695.99
20000,4696.28
20000,4695.48
20000,4696.51
20000,4695.69
20000,4695.69
20000,4696.47
20000,4696.13
20000,4695.98
20000,4695.79
20000,4696.72
20000,4695.94
20000,4695.62
20000,4695.43
20000,4696.15
20000,4695.35
20000,4696.13
20000,4695.68
20000,4696.13
20000,4695.12
20000,4695.94
20000,4695.66
20000,4695.96
20000,4695.52
20000,4695.98
20000,4695.41
20000,4695.66
25000,4716.7
25000,4716.22
25000,4715.85
25000,4716.04
25000,4716.78
25000,4716.29
25000,4716.57
25000,4716.07
25000,4716.11
25000,4716.56
25000,4716.71
25000,4716.52
25000,4715.7
25000,4716.59
25000,4716.27
25000,4716.32
25000,4715.91
25000,4715.93
25000,4717.13
25000,4716.44
25000,4716.3
25000,4716.1
25000,4715.83
25000,4716.3
25000,4716.35
25000,4716.49
25000,4716.47
25000,4715.71
25000,4716.75
25000,4716.68
25000,4715.64
25000,4716.33
25000,4716.26
25000,4715.92
25000,4717.1
25000,4716.93
25000,4717.25
25000,4716.64
25000,4716.29
25000,4716.37
25000,4717.01
25000,4716.93
25000,4716.66
25000,4716.49
25000,4717.08
25000,4717.5
25000,4717.35
25000,4717.06
25000,4716.56
25000,4716.32
30000,4699.91
30000,4699.06
30000,4699.24
30000,4699.6
30000,4699.71
30000,4699.92
30000,4699.66
30000,4699.71
30000,4698.91
30000,4699.53
30000,4699.63
30000,4699.77
30000,4699.53
30000,4699.64
30000,4699.46
30000,4699.2
30000,4699.89
30000,4699.38
30000,4699.24
30000,4699.27
30000,4699.06
30000,4699.45
30000,4699.81
30000,4699.3
30000,4699.34
30000,4699.12
30000,4699.45
30000,4699.74
30000,4699.03
30000,4699.42
30000,4698.85
30000,4699.55
30000,4698.53
30000,4699.5
30000,4699.39
30000,4698.7
30000,4699.45
30000,4698.67
30000,4699.5
30000,4699.35
30000,4699.45
30000,4699.27
30000,4698.95
30000,4699.24
30000,4698.83
30000,4699.49
30000,4699.19
30000,4698.83
30000,4699.34
30000,4699.01
35000,4696.11
35000,4696.58
35000,4696.29
35000,4695.91
35000,4696.48
35000,4696.45
35000,4696.6
35000,4696.61
35000,4696.6
35000,4695.9
35000,4696.22
35000,4695.72
35000,4696.79
35000,4696.61
35000,4696.28
35000,4696.59
35000,4696.42
35000,4696.26
35000,4696.41
35000,4696.25
35000,4696.55
35000,4696.08
35000,4695.89
35000,4695.57
35000,4696.42
35000,4696.41
35000,4696.25
35000,4696.25
35000,4696.24
35000,4695.89
35000,4696.22
35000,4695.39
35000,4696.62
35000,4696.94
35000,4696.45
35000,4696.75
35000,4696.42
35000,4696.42
35000,4696.05
35000,4695.72
35000,4696.78
35000,4696.59
35000,4696.45
35000,4696.76
35000,4696.58
35000,4696.73
35000,4696.42
35000,4696.23
35000,4696.4
35000,4695.73
40000,4681.77
40000,4682.58
40000,4681.77
40000,4682.58
40000,4682.29
40000,4682.48
40000,4681.99
40000,4682.22
40000,4681.88
40000,4682.36
40000,4682.07
40000,4682.29
40000,4682.68
40000,4682.24
40000,4681.89
40000,4682.5
40000,4682.36
40000,4682.28
40000,4681.8
40000,4682.28
40000,4682.2
40000,4682.16
40000,4682.28
40000,4682.16
40000,4682.14
40000,4682.74
40000,4682.82
40000,4682.08
40000,4682.66
40000,4682.56
40000,4682.22
40000,4682.38
40000,4682.36
40000,4682.48
40000,4682.24
40000,4682.12
40000,4682.12
40000,4682.38
40000,4682.16
40000,4682.22
40000,4681.91
40000,4682.38
40000,4682.58
40000,4681.88
40000,4682.1
40000,4682.28
40000,4682.54
40000,4682.34
40000,4682.4
40000,4682.66
45000,4668.33
45000,4668.55
45000,4668.5
45000,4667.5
45000,4668.11
45000,4668.19
45000,4668.18
45000,4668.11
45000,4667.97
45000,4667.3
45000,4666.94
45000,4668.03
45000,4667.18
