Real,Imag
1789.71,-1739.74
2579.74,-2166.59
2259.6,-1842.37
2988.37,-2469.44
1601.03,-2105.01
1576.75,-1765.53
1604.26,-2455.76
1798.85,-2443.8
1375.99,-2886.92
2059.35,-1935.81
1766.5,-1956.75
1822.82,-1923.35
1740.22,-2779.69
1467.47,-2609.94
1946.29,-2787.95
1495.03,-2267.9
2388.38,-2763.49
1512.14,-2383.56
2522.39,-2200.24
2122.79,-2965.27
2202.17,-2004.48
1575.4,-2798.47
1616.45,-2045.44
1324.58,-2492.23
1371.73,-2314.72
2421.4,-2028.62
1566.61,-2477.55
2002.74,-1969.36
1694.14,-2655.3
1653.55,-2628.36
1599.25,-2534.05
2074.15,-2790.74
2680.6,-2339.02
1851.21,-2842.12
1828.71,-2451.75
2420.36,-2464.59
1566.61,-2477.55
1362.05,-2470.56
2088.03,-3262.19
1499.32,-2491.37
2634.18,-2391.73
2300.36,-2965.97
1631.78,-1985.84
2330.66,-2005.31
1469.67,-2483.44
1397.43,-2575.19
2134.1,-2807.15
1805.19,-2717.4
2512.3,-2052.03
2164.09,-2815.36
2157.33,-1928.78
1898.03,-1878.7
1683.38,-2812.09
1999.78,-3059.98
1786.25,-2728.25
2475.71,-2560.33
2403.53,-1782.21
2103.94,-2621.78
1424.73,-2233.6
2107.5,-2060.38
1872.84,-2880.14
1805.01,-2893.53
2431.54,-2176.57
2125.89,-2837.12
1688.55,-1825.54
2391.14,-2020.84
1342.13,-2306.91
1484.07,-2249.16
2221.46,-2782.62
2206.21,-2359.37
2433.31,-2354.82
1862.03,-2861.13
2277.99,-1959.61
2235.05,-2850.95
1476.26,-2278.85
2296.1,-2076.94
1515.93,-2607.12
2364.89,-2369.07
1591.28,-2563.76
2199.61,-2744.4
2531.37,-2040.77
2417.92,-3355.93
1716.96,-2087.33
2247.8,-1951.89
1556.51,-2809.24
2538.31,-2447.39
2399.07,-2604.52
1821.41,-2833.95
2566.71,-1581.09
2317.14,-2727.92
1450.89,-2494.3
1958.02,-1893.96
1680.46,-2587.76
1327.48,-2540.52
1488.45,-2472.57
1602.14,-2582.6
2480.91,-2173.26
1686.22,-3485.37
1751.15,-2016.52
2412.47,-2187.76
1468.38,-1880.64
2377.01,-2566.22
1829.58,-2804.13
1976.18,-2796.11
2562.39,-2356.51
1927.28,-2798.79
1647.04,-1926.2
2270.25,-1989.79
1588.38,-2515.2
1550.71,-2536.93
1512.14,-2383.56
2276.1,-2700.6
1710.84,-1862.98
2368.9,-2596.39
1867.57,-2782.47
1478.27,-2628.77
2789.93,-2661.22
1535.66,-2294.46
2444.42,-2373.93
2431.54,-2176.57
1405.39,-2545.59
1724.68,-2057.47
2403.08,-2346.84
2221.46,-2782.62
1909.21,-1897.51
1931.54,-1935.15
1928.01,-1886.33
1920.38,-1916.33
1831.57,-3029.16
1635.17,-2034.38
2399.07,-2604.52
